2.21298 0
2.22878 0
2.24457 0
2.26037 0
2.27616 0
2.29196 0
2.30776 0
2.32355 0
2.33935 0
2.35514 0
2.37094 0
2.38674 0
2.40254 0
2.41833 0
2.43413 0
2.44993 0
2.46573 0
2.48153 0
2.49733 0
2.51313 0
2.52893 0
2.54473 0
2.56053 0
2.57633 0
2.59213 0
2.60793 0
2.62373 0
2.63953 0
2.65533 0
2.67113 0
2.68694 0
2.70274 0
2.71854 0
2.73434 0
2.75015 0
2.76595 0
2.78176 0
2.79756 0
2.81336 0
2.82917 0
2.84497 0
2.86078 0
2.87658 0
2.89239 0
2.9082 0
2.924 0
2.93981 0
2.95562 0
2.97142 0
2.98723 0
3.00304 0
3.01885 0
3.03465 0
3.05046 0
3.06627 0
3.08208 0
3.09789 0
3.1137 0
3.12951 0
3.14532 0
3.16113 0
3.17694 0
3.19275 0
3.20856 0
3.22437 0
3.24018 0
3.256 1
3.27181 0
3.28762 1
3.30343 1
3.31925 0
3.33506 0
3.35087 0
3.36669 0
3.3825 3
3.39831 0
3.41413 1
3.42994 13
3.44576 34
3.46157 89
3.47739 116
3.49321 140
3.50902 159
3.52484 219
3.54065 267
3.55647 272
3.57229 261
3.58811 258
3.60392 269
3.61974 256
3.63556 288
3.65138 277
3.6672 332
3.68302 348
3.69884 287
3.71465 369
3.73047 366
3.74629 322
3.76211 264
3.77793 289
3.79376 252
3.80958 253
3.8254 263
3.84122 250
3.85704 232
3.87286 240
3.88869 252
3.90451 261
3.92033 278
3.93615 285
3.95198 261
3.9678 250
3.98362 242
3.99945 234
4.01527 258
4.0311 286
4.04692 255
4.06275 224
4.07857 262
4.0944 268
4.11023 370
4.12605 464
4.14188 505
4.1577 492
4.17353 488
4.18936 474
4.20519 793
4.22101 1659
4.23684 2644
4.25267 3827
4.2685 3750
4.28433 2600
4.30016 1482
4.31599 851
4.33181 587
4.34764 410
4.36347 332
4.3793 230
4.39514 211
4.41097 197
4.4268 197
4.44263 179
4.45846 194
4.47429 158
4.49012 183
4.50596 203
4.52179 227
4.53762 262
4.55345 304
4.56929 337
4.58512 326
4.60095 337
4.61679 354
4.63262 390
4.64846 298
4.66429 315
4.68013 300
4.69596 298
4.7118 255
4.72763 278
4.74347 239
4.75931 212
4.77514 249
4.79098 237
4.80682 232
4.82265 197
4.83849 204
4.85433 174
4.87017 185
4.88601 160
4.90185 130
4.91768 145
4.93352 145
4.94936 146
